"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/29/2023","AQS","051190007","2","0.5","ppm","6","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"01/30/2023","AQS","051190007","2","0.5","ppm","6","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"01/31/2023","AQS","051190007","2","0.5","ppm","6","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/01/2023","AQS","051190007","2","0.5","ppm","6","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/02/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/03/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/04/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/05/2023","AQS","051190007","2","0.7","ppm","8","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/06/2023","AQS","051190007","2","0.8","ppm","9","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/07/2023","AQS","051190007","2","0.7","ppm","8","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/08/2023","AQS","051190007","2","0.8","ppm","9","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/09/2023","AQS","051190007","2","0.8","ppm","9","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/10/2023","AQS","051190007","2","0.9","ppm","10","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/11/2023","AQS","051190007","2","0.8","ppm","9","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/12/2023","AQS","051190007","2","0.9","ppm","10","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/13/2023","AQS","051190007","2","0.9","ppm","10","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/14/2023","AQS","051190007","2","0.9","ppm","10","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/15/2023","AQS","051190007","2","0.2","ppm","2","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/16/2023","AQS","051190007","2","0.2","ppm","2","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/17/2023","AQS","051190007","2","0.3","ppm","3","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/18/2023","AQS","051190007","2","0.7","ppm","8","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/19/2023","AQS","051190007","2","0.3","ppm","3","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/20/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/21/2023","AQS","051190007","2","0.5","ppm","6","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/22/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/23/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/24/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/25/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/26/2023","AQS","051190007","2","0.5","ppm","6","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/27/2023","AQS","051190007","2","0.5","ppm","6","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"02/28/2023","AQS","051190007","2","0.6","ppm","7","PARR","15","63.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/01/2023","AQS","051190007","2","0.1","ppm","1","PARR","9","38.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/02/2023","AQS","051190007","2","0.3","ppm","3","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/03/2023","AQS","051190007","2","0.2","ppm","2","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/04/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/05/2023","AQS","051190007","2","0.5","ppm","6","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/06/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/07/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/08/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/09/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/10/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/11/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/12/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/13/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/14/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/15/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/16/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/17/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/18/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/19/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/20/2023","AQS","051190007","2","0.4","ppm","5","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/21/2023","AQS","051190007","2","0.5","ppm","6","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/22/2023","AQS","051190007","2","0.5","ppm","6","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/23/2023","AQS","051190007","2","0.5","ppm","6","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/24/2023","AQS","051190007","2","0.5","ppm","6","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/25/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
"03/26/2023","AQS","051190007","2","0.6","ppm","7","PARR","24","100.0000","42101","Carbon monoxide","054","30780","Little Rock-North Little Rock-Conway, AR","05","Arkansas","119","Pulaski","34.7561888042723","-92.2812958643647"
